uuid,fips,urbanicity,name,type,juvenile_type,operator,capacity,private_name,ice_active,num_facilities,twp,facility_name,address,city,zip,lat,lon,facility_name_2,address_2,city_2,zip_2,lat_2,lon_2,facility_name_3,address_3,city_3,zip_3,lat_3,lon_3,coj_adultm,coj_adultf,coj_juvm, coj_juvf,coj_totgender,adltjuv,state_doc,state_doc_twp,state_doc_total,out_of_state,federal,ice,pretrial,parish_hold,total_pop,map_jails,map_twp,map_private,map_prison,map_juvenile,est_doc_rev,GT_1000_beds_99,GT_1000_beds_19
203,22117,rural,Washington Parish,Prison,,State,1156,,0,1,0,B.B. Rayburn Correctional Center,27268 Hwy. 21 North,Angie,70426,30.9217019,-89.8164031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
204,22119,small/mid,Webster Parish,Jail,,Sheriff,444,,0,2,1,Webster Detention Center (Bayou Dorcheat Correctional Center),1455 Bravo Boulevard,Minden,71055,32.5665182,-93.4117487,Webster Parish Transitional Work Program,1455 Bravo Boulevard,Minden,71055,32.5665182,-93.4117487,,,,,,,,,,,,,358,74,432,0,0,0,129,121,682,1,1,0,0,0,3779253.8,0,0
205,22119,small/mid,Webster Parish,Jail,,Sheriff,61,,0,1,0,Webster Parish Jail,410 Main St.,Minden,71055,32.61370726,-93.28830877,,,,,,,,,,,,,,,,,,,20,7,27,0,0,0,0,0,27,1,0,0,0,0,223945.75,0,0
206,22119,small/mid,Webster Parish,Jail,,City,65,,0,1,0,Minden City Jail,520 Broadway Street,Minden,71055,32.6144974,-93.2864227,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
207,22119,small/mid,Webster Parish,Jail,,City,140,,0,1,0,Springhill City Jail,25 Clinic Street,Springhill,71075,33.0046891,-93.4606822,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
208,22121,small/mid,West Baton Rouge Parish,Jail,,Sheriff,333,,0,1,0,West Baton Rouge Parish Jail,1150 NW Drive,Port Allen,70767,30.5012962,-91.2162849,,,,,,,,,,,,,325,0,0,0,325,0,106,0,106,0,61,0,129,0,296,1,0,0,0,0,1021029.1,0,0
209,22121,small/mid,West Baton Rouge Parish,TWP Facility,,Sheriff,300,,0,1,1,West Baton Rouge Transitional Work Program,1155 Northwest Drive,Port Allen,70767,30.5000911,-91.2153422,,,,,,,,,,,,,280,0,0,0,280,0,57,156,213,0,0,0,0,0,213,0,1,0,0,0,1246558.95,0,0
210,22121,small/mid,West Baton Rouge Parish,Jail,,City,115,,0,1,0,Port Allen City Jail,750 North Jefferson Avenue,Port Allen,70767,30.4590682,-91.2055616,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
211,22123,rural,West Carroll Parish,Jail,,Sheriff,26,,0,1,0,West Carroll Parish Jail,305 East Main Street,Oak Grove,71263,32.8604993,-91.3875144,,,,,,,,,,,,,24,0,0,0,24,0,16,0,16,0,0,0,15,0,31,1,0,0,0,0,154117.6,0,0
212,22125,small/mid,West Feliciana Parish,Jail,,Sheriff,39,,0,1,0,West Feliciana Parish Detention Center,4834 Feliciana Street,St. Francisville,70775,30.7780453,-91.3833858,,,,,,,,,,,,,37,0,0,0,37,0,6,0,6,0,0,0,14,0,20,1,0,0,0,0,57794.1,0,0
213,22125,small/mid,West Feliciana Parish,TWP Facility,,Sheriff,276,,0,1,1,West Feliciana Parish Transitional Work Program,9943 West Feliciana Parkway,St. Francisville,70775,30.8052094,-91.3798231,,,,,,,,,,,,,,,,,,,10,77,87,0,0,0,0,0,87,0,1,0,0,0,440609.75,0,0
214,22125,small/mid,West Feliciana Parish,Prison,,State,5108,,0,1,0,Louisiana State Penitentiary,17544 Tunica Trace,Angola,70712,30.9406505,-91.5684335,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,0,0
215,22125,small/mid,West Feliciana Parish,Jail,,City,,,0,1,0,St. Francisville City Jail,11936 Ferdinand Street,St. Francisville,70775,30.7795462,-91.3767803,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,,0,0
216,22127,rural,Winn Parish,Jail,,Sheriff,150,,0,1,0,Winn Parish Jail,"119 West Main, Room 106",Winnfield,71483,31.9260245,-92.6390783,,,,,,,,,,,,,108,12,0,0,120,0,53,0,53,0,0,0,83,2,138,1,0,0,0,0,510514.55,0,0
217,22127,rural,Winn Parish,Jail,,City,32,,0,1,0,Winnfield City Jail,405 South Jones Street,Winnfield,71483,31.9233488,-92.6391285,,,,,,,,,,,,,26,3,0,0,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
218,22127,rural,Winn Parish,Jail,,Private,1538,LaSalle,1,1,0,Winn Correctional Center,506 Gum Springs Rd.,Winnfield,71483,31.83835738,-92.79024291,,,,,,,,,,,,,,,,,,,17,0,17,0,0,"1,050",0,0,1067,0,0,1,0,0,163749.95,0,0
